trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
159,False,"{'a': 0.001, 'e': 0.8538497819684817}",25,0,-137.5134370163188,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
160,False,"{'a': 0.001, 'e': 0.8529963589691315}",30,0,-179.93698444054465,"{0: 15, 1: 4, 2: 8, 3: 1, 4: 2}",0
161,False,"{'a': 0.001, 'e': 0.8521437889662113}",30,0,-79.01319333749086,"{0: 20, 1: 4, 2: 4, 3: 2, 4: 0}",0
162,False,"{'a': 0.001, 'e': 0.8512920711071511}",20,0,-85.47193172912145,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
163,False,"{'a': 0.001, 'e': 0.850441204540233}",25,0,-30.65276923590764,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
164,False,"{'a': 0.001, 'e': 0.8495911884145902}",20,0,-140.50758530735098,"{0: 10, 1: 2, 2: 4, 3: 3, 4: 1}",0
165,False,"{'a': 0.001, 'e': 0.8487420218802068}",20,0,-30.1182441214409,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
166,False,"{'a': 0.001, 'e': 0.8478937040879159}",30,0,-140.89001390055958,"{0: 22, 1: 3, 2: 1, 3: 1, 4: 3}",0
167,False,"{'a': 0.001, 'e': 0.8470462341893996}",30,0,-143.47459761075288,"{0: 17, 1: 0, 2: 12, 3: 0, 4: 1}",0
168,False,"{'a': 0.001, 'e': 0.8461996113371882}",25,10,-22.805881352378922,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 0}",1
169,False,"{'a': 0.001, 'e': 0.8453538346846587}",20,0,-132.87186922670557,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
170,False,"{'a': 0.001, 'e': 0.8445089033860343}",25,0,-117.03820739013476,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
171,False,"{'a': 0.001, 'e': 0.8436648165963837}",30,0,-204.01631257191028,"{0: 17, 1: 4, 2: 5, 3: 0, 4: 4}",0
172,False,"{'a': 0.001, 'e': 0.8428215734716199}",25,4,-91.01241699228974,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 1}",1
173,False,"{'a': 0.001, 'e': 0.8419791731684999}",20,0,-36.62070314600963,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
174,False,"{'a': 0.001, 'e': 0.8411376148446232}",30,0,-124.55523378608576,"{0: 21, 1: 1, 2: 4, 3: 3, 4: 1}",0
175,False,"{'a': 0.001, 'e': 0.8402968976584314}",20,0,-160.69738304516207,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
176,False,"{'a': 0.001, 'e': 0.8394570207692074}",20,0,-62.87810962364464,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
177,False,"{'a': 0.001, 'e': 0.838617983337074}",30,21,2.5530794927979725,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.001, 'e': 0.8377797845229938}",20,0,-61.055412434439546,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
179,False,"{'a': 0.001, 'e': 0.8369424234887681}",20,0,-47.84307760125764,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
180,False,"{'a': 0.001, 'e': 0.8361058993970355}",20,0,-120.56613084247888,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
181,False,"{'a': 0.001, 'e': 0.835270211411272}",20,0,-116.54852802961688,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
182,False,"{'a': 0.001, 'e': 0.8344353586957896}",25,0,-76.65489609127883,"{0: 16, 1: 6, 2: 1, 3: 1, 4: 1}",0
